initiative_id,ordered_impressions,delivered_impressions,active_spots,spot_counts,station_list
c28e3640-9fc9-43f0-acf9-a04a07cb761b,30000,20000,200,300,"ABCD,10000"
2d346418-fa15-41d9-95ac-ca5813362f6d,30001,20001,201,301,"ABCD,10001"
09810744-9354-4d6b-9224-a0894f5cc8e2,30002,20002,202,302,"ABCD,10002"
b4650f6e-fd27-4b10-9082-620f1b53b666,30003,20003,203,303,"ABCD,10003"
89319e96-bbbd-4528-9183-a9cd64e4aa81,30004,20004,204,304,"ABCD,10004"
9856c052-d170-494e-bd71-8dfd6c5ccfd4,30005,20005,205,305,"ABCD,10005"
c47a7be2-20d0-4f67-9776-453374b8e88d,30006,20006,206,306,"ABCD,10006"
8f06a11d-ff4b-4ca2-a325-bb9b7ed863e1,30007,20007,207,307,"ABCD,10007"
66c80034-91b7-42db-bb76-299b12364969,30008,20008,208,308,"ABCD,10008"
a5d85580-6d78-4154-a86f-e7fd7767b8cc,30009,20009,209,309,"ABCD,10009"
98f1d8eb-c35b-4a8b-849a-fed8d7667b4f,30010,20010,210,310,"ABCD,10010"
0463196c-0187-4157-9909-b80c7a24edff,30011,20011,211,311,"ABCD,10011"
3b2918e2-4592-461d-9daa-2b398194e66c,30012,20012,212,312,"ABCD,10012"
c152722e-3c12-479d-94ae-5d835932b6c2,30013,20013,213,313,"ABCD,10013"
f41acefb-ce39-4aca-b363-dd8a2bfa452f,30014,20014,214,314,"ABCD,10014"
4cfa2afb-bd52-4531-9b62-635ae677548f,30015,20015,215,315,"ABCD,10015"
0c3ac47f-31ee-42ce-9de6-3c916c961af3,30016,20016,216,316,"ABCD,10016"
abe9f6a9-fa75-4508-9551-c36039ac59c6,30017,20017,217,317,"ABCD,10017"
09bc1131-2f83-438c-94e5-62f937a11de9,30018,20018,218,318,"ABCD,10018"
aafec35c-4fba-411d-a4ab-42b342e169f6,30019,20019,219,319,"ABCD,10019"
e66079b4-0c6f-46bb-bdc9-8db04dea60d4,30020,20020,220,320,"ABCD,10020"
a763c817-954d-4d6d-89ea-379548907e1f,30021,20021,221,321,"ABCD,10021"
cc64ae1a-9de1-4f30-bbab-9b44d64072f7,30022,20022,222,322,"ABCD,10022"
8d6d0c98-c49c-4403-aa26-b87bc0c27ad4,30023,20023,223,323,"ABCD,10023"
cc36ba84-4713-4f50-85e7-3e12e6a7df18,30024,20024,224,324,"ABCD,10024"
ebe48e2f-36c2-4c4d-b822-6c6a67d3e7d2,30025,20025,225,325,"ABCD,10025"
a8240fab-984c-4010-b5a2-65d2d84942b4,30026,20026,226,326,"ABCD,10026"
b6e8c991-4dfe-416d-b21b-b5fd843a1b2e,30027,20027,227,327,"ABCD,10027"
12cbb033-f205-482c-8cc1-1345e5c918e1,30028,20028,228,328,"ABCD,10028"
427d618b-5fe9-4417-b7b3-683f9e703638,30029,20029,229,329,"ABCD,10029"
2b83f4cb-8386-455c-b862-e70f3d80143e,30030,20030,230,330,"ABCD,10030"
390f1844-788b-4815-869b-6e637750ec21,30031,20031,231,331,"ABCD,10031"
1d7795ea-e172-4a4d-be72-1e73a1348116,30032,20032,232,332,"ABCD,10032"
a1c00782-47e9-4325-9e7f-9156f1430b2e,30033,20033,233,333,"ABCD,10033"
826635e3-e318-499a-95a4-efc8adefe3e3,30034,20034,234,334,"ABCD,10034"
b1ca444d-c8eb-42b0-b072-173bea10f637,30035,20035,235,335,"ABCD,10035"
448b59f6-2840-431c-82c5-0d3f6a7e588f,30036,20036,236,336,"ABCD,10036"
ccb8b157-e5f1-4c48-bcb0-40de5358cfbd,30037,20037,237,337,"ABCD,10037"
f20e4576-8e53-4734-80ac-8af9285036df,30038,20038,238,338,"ABCD,10038"
cfb8b223-b2e5-4dde-bf82-48bf7afb5597,30039,20039,239,339,"ABCD,10039"
77e08b9d-dfde-4868-8bc5-17f90968340c,30040,20040,240,340,"ABCD,10040"
34843924-222f-407b-babc-46ea44c658a5,30041,20041,241,341,"ABCD,10041"
93987267-a5d5-483a-bcd5-44aacb724fc8,30042,20042,242,342,"ABCD,10042"
6abfbb89-af70-4a5e-b6f0-25b47da04396,30043,20043,243,343,"ABCD,10043"
ca2c33f2-ae15-435f-aae7-3b155ceea0a9,30044,20044,244,344,"ABCD,10044"
4828ce19-54db-4407-94b5-910c096580bd,30045,20045,245,345,"ABCD,10045"
0121f195-e979-4b1d-abe1-2ac4e104c97c,30046,20046,246,346,"ABCD,10046"
27665c7b-2bc5-4901-a5be-d89ace622431,30047,20047,247,347,"ABCD,10047"
ad5a5850-d85f-4a06-bd72-dd6cd500b573,30048,20048,248,348,"ABCD,10048"
f5fd8bb0-0d2f-4093-b0ce-4fdc1327f705,30049,20049,249,349,"ABCD,10049"
f584f4de-64d1-480d-a41b-cf07f7da9b3d,30050,20050,250,350,"ABCD,10050"
75f2a9d5-f3e5-495e-94b3-3a3d3b7255ab,30051,20051,251,351,"ABCD,10051"
0eea3134-d3d3-4d12-bf6a-73fc0bc750d6,30052,20052,252,352,"ABCD,10052"
3e2a9fa1-2900-4ea6-bdcd-0e62bddc7ea7,30053,20053,253,353,"ABCD,10053"
67f71f56-6199-46d5-b4a5-bc2b0892ab7c,30054,20054,254,354,"ABCD,10054"
0003ea26-4067-49d5-99e1-4d8fc6c1ee01,30055,20055,255,355,"ABCD,10055"
